Oct25,10/1/2025,,32,"  10,672.83 ","  9,154.18 ","  1,518.65 ","  336,207.68 ",,
Nov25,11/1/2025,,33,"  10,672.83 ","  9,145.16 ","  1,527.67 ","  327,062.52 ",,
Dec25,12/1/2025,,34,"  10,672.83 ","  9,234.65 ","  1,438.18 ","  317,827.87 ",,
Jan26,1/1/2026,,35,"  10,672.83 ","  9,228.67 ","  1,444.16 ","  308,599.20 ",,
Feb26,2/1/2026,,36,"  10,672.83 ","  9,270.61 ","  1,402.22 ","  299,328.60 ",,
Mar26,3/1/2026,,37,"  10,672.83 ","  9,444.35 ","  1,228.48 ","  289,884.24 ",,
Apr26,4/1/2026,,38,"  10,672.83 ","  9,355.64 ","  1,317.19 ","  280,528.60 ",,
May26,5/1/2026,,39,"  10,672.83 ","  9,439.27 ","  1,233.56 ","  271,089.33 ",,
Jun26,6/1/2026,,40,"  10,672.83 ","  9,441.04 ","  1,231.79 ","  261,648.28 ",,
Jul26,7/1/2026,,41,"  10,672.83 ","  9,522.29 ","  1,150.54 ","  252,125.99 ",,
Aug26,8/1/2026,,42,"  10,672.83 ","  9,527.21 ","  1,145.62 ","  242,598.78 ",,
Sep26,9/1/2026,,43,"  10,672.83 ","  9,570.50 ","  1,102.33 ","  233,028.28 ",,
Oct26,10/1/2026,,44,"  10,672.83 ","  9,648.14 ","  1,024.69 ","  223,380.13 ",,
Nov26,11/1/2026,,45,"  10,672.83 ","  9,657.83 ","  1,015.00 ","  213,722.30 ",,
Dec26,12/1/2026,,46,"  10,672.83 ","  9,733.04 ",  939.79 ,"  203,989.27 ",,
Jan27,1/1/2027,,47,"  10,672.83 ","  9,745.94 ",  926.89 ,"  194,243.33 ",,
Feb27,2/1/2027,,48,"  10,672.83 ","  9,790.22 ",  882.61 ,"  184,453.11 ",,
Mar27,3/1/2027,,49,"  10,672.83 ","  9,915.81 ",  757.02 ,"  174,537.30 ",,
Apr27,4/1/2027,,50,"  10,672.83 ","  9,879.76 ",  793.07 ,"  164,657.53 ",,
May27,5/1/2027,,51,"  10,672.83 ","  9,948.79 ",  724.04 ,"  154,708.75 ",,
Jun27,6/1/2027,,52,"  10,672.83 ","  9,969.86 ",  702.97 ,"  144,738.89 ",,
Jul27,7/1/2027,,53,"  10,672.83 ","  10,036.38 ",  636.45 ,"  134,702.51 ",,
Aug27,8/1/2027,,54,"  10,672.83 ","  10,060.76 ",  612.07 ,"  124,641.75 ",,
Sep27,9/1/2027,,55,"  10,672.83 ","  10,106.48 ",  566.35 ,"  114,535.27 ",,
Oct27,10/1/2027,,56,"  10,672.83 ","  10,169.19 ",  503.64 ,"  104,366.08 ",,
Nov27,11/1/2027,,57,"  10,672.83 ","  10,198.61 ",  474.22 ,"  94,167.47 ",,
Dec27,12/1/2027,,58,"  10,672.83 ","  10,258.75 ",  414.08 ,"  83,908.72 ",,
Jan28,1/1/2028,,59,"  10,672.83 ","  10,291.56 ",  381.27 ,"  73,617.16 ",,
Feb28,2/1/2028,,60,"  10,672.83 ","  10,338.33 ",  334.50 ,"  63,278.83 ",,
Mar28,3/1/2028,,61,"  10,672.83 ","  10,403.85 ",  268.98 ,"  52,874.98 ",,
Apr28,4/1/2028,,62,"  10,672.83 ","  10,432.57 ",  240.26 ,"  42,442.41 ",,
May28,5/1/2028,,63,"  10,672.83 ","  10,486.20 ",  186.63 ,"  31,956.21 ",,
Jun28,6/1/2028,,64,"  10,672.83 ","  10,527.63 ",  145.20 ,"  21,428.58 ",,
Jul28,7/1/2028,,65,"  10,672.83 ","  10,578.60 ",  94.23 ,"  10,849.98 ",,
Aug28,8/1/2028,,66,"  10,899.28 ","  10,849.98 ",  49.30 ,  -   ,,
Sep28,9/1/2028,,67,  -   ,  -   ,  -   ,  -   ,,
Oct28,10/1/2028,,68,  -   ,  -   ,  -   ,  -   ,,
Nov28,11/1/2028,,69,  -   ,  -   ,  -   ,  -   ,,
Dec28,12/1/2028,,70,  -   ,  -   ,  -   ,  -   ,,
Jan29,1/1/2029,,71,  -   ,  -   ,  -   ,  -   ,,
Feb29,2/1/2029,,72,  -   ,  -   ,  -   ,  -   ,,
Mar29,3/1/2029,,73,  -   ,  -   ,  -   ,  -   ,,
Apr29,4/1/2029,,74,  -   ,  -   ,  -   ,  -   ,,
May29,5/1/2029,,75,  -   ,  -   ,  -   ,  -   ,,
Jun29,6/1/2029,,76,  -   ,  -   ,  -   ,  -   ,,
Jul29,7/1/2029,,77,  -   ,  -   ,  -   ,  -   ,,
Aug29,8/1/2029,,78,  -   ,  -   ,  -   ,  -   ,,
Sep29,9/1/2029,,79,  -   ,  -   ,  -   ,  -   ,,
Oct29,10/1/2029,,80,  -   ,  -   ,  -   ,  -   ,,
Nov29,11/1/2029,,81,  -   ,  -   ,  -   ,  -   ,,
Dec29,12/1/2029,,82,  -   ,  -   ,  -   ,  -   ,,
Jan30,1/1/2030,,83,  -   ,  -   ,  -   ,  -   ,,
Feb30,2/1/2030,,84,  -   ,  -   ,  -   ,  -   ,,
Mar30,3/1/2030,,85,  -   ,  -   ,  -   ,  -   ,,
