20 Tractors,,,,,,,,,
,,,,,MH2,,,05-2983-000-000-00,
Nov26,11/29/2026,,71,"  12,941.28 ","  12,321.80 ",  619.49 ,"  202,206.58 ",,
Dec26,12/29/2026,,72,"  12,941.28 ","  12,376.21 ",  565.07 ,"  189,830.36 ",,
Jan27,1/29/2027,,73,"  12,941.28 ","  12,393.12 ",  548.17 ,"  177,437.25 ",,
Feb27,2/28/2027,,74,"  12,941.28 ","  12,445.43 ",  495.85 ,"  164,991.81 ",,
Mar27,3/29/2027,,75,"  12,941.28 ","  12,495.58 ",  445.70 ,"  152,496.23 ",,
Apr27,4/29/2027,,76,"  12,941.28 ","  12,500.93 ",  440.36 ,"  139,995.31 ",,
May27,5/29/2027,,77,"  12,941.28 ","  12,550.06 ",  391.22 ,"  127,445.24 ",,
Jun27,6/29/2027,,78,"  12,941.28 ","  12,573.26 ",  368.02 ,"  114,871.98 ",,
Jul27,7/29/2027,,79,"  12,941.28 ","  12,620.27 ",  321.01 ,"  102,251.71 ",,
Aug27,8/29/2027,,80,"  12,941.28 ","  12,646.01 ",  295.27 ,"  89,605.69 ",,
Sep27,9/29/2027,,81,"  12,941.28 ","  12,682.53 ",  258.75 ,"  76,923.16 ",,
Oct27,10/29/2027,,82,"  12,941.28 ","  12,726.32 ",  214.96 ,"  64,196.84 ",,
Nov27,11/29/2027,,83,"  12,941.28 ","  12,755.90 ",  185.38 ,"  51,440.94 ",,
Dec27,12/29/2027,,84,"  12,941.28 ","  12,797.53 ",  143.75 ,"  38,643.40 ",,
Jan28,1/29/2028,,85,"  12,941.28 ","  12,829.69 ",  111.59 ,"  25,813.71 ",,
Feb28,2/29/2028,,86,"  12,941.28 ","  12,866.74 ",  74.54 ,"  12,946.97 ",,
Mar28,3/29/2028,,87,"  12,981.94 ","  12,946.97 ",  34.97 ,  -   ,,
Apr28,4/29/2028,,88,  -   ,  -   ,  -   ,  -   ,,
May28,5/29/2028,,89,  -   ,  -   ,  -   ,  -   ,,
Jun28,6/29/2028,,90,  -   ,  -   ,  -   ,  -   ,,
Jul28,7/29/2028,,91,  -   ,  -   ,  -   ,  -   ,,
Aug28,8/29/2028,,92,  -   ,  -   ,  -   ,  -   ,,
Sep28,9/29/2028,,93,  -   ,  -   ,  -   ,  -   ,,
Oct28,10/29/2028,,94,  -   ,  -   ,  -   ,  -   ,,
