25 Trailers units 53439 - 53473,,,,,,,,05-2981-000-000-00
,,,,,MH2,,,
Mar25,3/5/2025,,52,"  13,061.21 ","  11,922.36 ","  1,138.85 ","  397,083.74 ",
Apr25,4/5/2025,,53,"  13,061.21 ","  11,837.09 ","  1,224.12 ","  385,246.66 ",
May25,5/5/2025,,54,"  13,061.21 ","  11,911.89 ","  1,149.32 ","  373,334.76 ",
Jun25,6/5/2025,,55,"  13,061.21 ","  11,910.30 ","  1,150.91 ","  361,424.46 ",
Jul25,7/5/2025,,56,"  13,061.21 ","  11,982.96 ","  1,078.25 ","  349,441.50 ",
Aug25,8/5/2025,,57,"  13,061.21 ","  11,983.96 ","  1,077.25 ","  337,457.54 ",
Sep25,9/5/2025,,58,"  13,061.21 ","  12,020.90 ","  1,040.31 ","  325,436.64 ",
Oct25,10/5/2025,,59,"  13,061.21 ","  12,090.32 ",  970.89 ,"  313,346.32 ",
Nov25,11/5/2025,,60,"  13,061.21 ","  12,095.23 ",  965.98 ,"  301,251.08 ",
Dec25,12/5/2025,,61,"  13,061.21 ","  12,162.48 ",  898.73 ,"  289,088.60 ",
Jan26,1/5/2026,,62,"  13,061.21 ","  12,170.01 ",  891.20 ,"  276,918.59 ",
Feb26,2/5/2026,,63,"  13,061.21 ","  12,207.53 ",  853.68 ,"  264,711.06 ",
Mar26,3/5/2026,,64,"  13,061.21 ","  12,324.14 ",  737.07 ,"  252,386.92 ",
Apr26,4/5/2026,,65,"  13,061.21 ","  12,283.16 ",  778.05 ,"  240,103.77 ",
May26,5/5/2026,,66,"  13,061.21 ","  12,344.90 ",  716.31 ,"  227,758.86 ",
Jun26,6/5/2026,,67,"  13,061.21 ","  12,359.08 ",  702.13 ,"  215,399.78 ",
Jul26,7/5/2026,,68,"  13,061.21 ","  12,418.60 ",  642.61 ,"  202,981.18 ",
Aug26,8/5/2026,,69,"  13,061.21 ","  12,435.46 ",  625.75 ,"  190,545.72 ",
Sep26,9/5/2026,,70,"  13,061.21 ","  12,473.80 ",  587.41 ,"  178,071.92 ",
Oct26,10/5/2026,,71,"  13,061.21 ","  12,529.96 ",  531.25 ,"  165,541.96 ",
Nov26,11/5/2026,,72,"  13,061.21 ","  12,550.88 ",  510.33 ,"  152,991.08 ",
Dec26,12/5/2026,,73,"  13,061.21 ","  12,604.79 ",  456.42 ,"  140,386.29 ",
Jan27,1/5/2027,,74,"  13,061.21 ","  12,628.43 ",  432.78 ,"  127,757.86 ",
Feb27,2/5/2027,,75,"  13,061.21 ","  12,667.36 ",  393.85 ,"  115,090.50 ",
Mar27,3/5/2027,,76,"  13,061.21 ","  12,740.75 ",  320.46 ,"  102,349.75 ",
Apr27,4/5/2027,,77,"  13,061.21 ","  12,745.69 ",  315.52 ,"  89,604.06 ",
May27,5/5/2027,,78,"  13,061.21 ","  12,793.89 ",  267.32 ,"  76,810.17 ",
Jun27,6/5/2027,,79,"  13,061.21 ","  12,824.42 ",  236.79 ,"  63,985.75 ",
Jul27,7/5/2027,,80,"  13,061.21 ","  12,870.32 ",  190.89 ,"  51,115.43 ",
Aug27,8/5/2027,,81,"  13,061.21 ","  12,903.63 ",  157.58 ,"  38,211.80 ",
Sep27,9/5/2027,,82,"  13,061.21 ","  12,943.41 ",  117.80 ,"  25,268.39 ",
Oct27,10/5/2027,,83,"  13,061.21 ","  12,985.83 ",  75.38 ,"  12,282.56 ",
Nov27,11/5/2027,,84,"  12,320.43 ","  12,282.57 ",  37.86 ,  (0.00),
Dec27,12/5/2027,,85,  -   ,  0.00 ,  (0.00),  (0.00),
