30 Trailers,,,,,,,,05-2982-000-000-00
,,,,,MH2,,,
,11/3/2022,,24,"  13,033.19 ","  10,815.01 ","  2,218.18 ","  714,666.38 ",
,12/3/2022,,25,"  13,033.19 ","  10,918.56 ","  2,114.63 ","  703,747.82 ",
,1/3/2023,,26,"  13,033.19 ","  10,881.46 ","  2,151.73 ","  692,866.36 ",
,2/3/2023,,27,"  13,033.19 ","  10,914.73 ","  2,118.46 ","  681,951.63 ",
,3/3/2023,,28,"  13,033.19 ","  11,149.88 ","  1,883.31 ","  670,801.75 ",
,4/3/2023,,29,"  13,033.19 ","  10,982.19 ","  2,051.00 ","  659,819.56 ",
,5/3/2023,,30,"  13,033.19 ","  11,080.85 ","  1,952.34 ","  648,738.71 ",
,6/3/2023,,31,"  13,033.19 ","  11,049.65 ","  1,983.54 ","  637,689.06 ",
,7/3/2023,,32,"  13,033.19 ","  11,146.33 ","  1,886.86 ","  626,542.74 ",
,8/3/2023,,33,"  13,033.19 ","  11,117.51 ","  1,915.68 ","  615,425.22 ",
,9/3/2023,,34,"  13,033.19 ","  11,151.51 ","  1,881.68 ","  604,273.71 ",
,10/3/2023,,35,"  13,033.19 ","  11,245.20 ","  1,787.99 ","  593,028.51 ",
,11/3/2023,,36,"  13,033.19 ","  11,219.99 ","  1,813.20 ","  581,808.53 ",
,12/3/2023,,37,"  13,033.19 ","  11,311.67 ","  1,721.52 ","  570,496.85 ",
,1/3/2024,,38,"  13,033.19 ","  11,288.88 ","  1,744.31 ","  559,207.98 ",
,2/3/2024,,39,"  13,033.19 ","  11,323.39 ","  1,709.80 ","  547,884.58 ",
,3/3/2024,,40,"  13,033.19 ","  11,466.09 ","  1,567.10 ","  536,418.49 ",
,4/3/2024,,41,"  13,033.19 ","  11,393.07 ","  1,640.12 ","  525,025.42 ",
,5/3/2024,,42,"  13,033.19 ","  11,479.69 ","  1,553.50 ","  513,545.73 ",
,6/3/2024,,43,"  13,033.19 ","  11,463.01 ","  1,570.18 ","  502,082.73 ",
,7/3/2024,,44,"  13,033.19 ","  11,547.58 ","  1,485.61 ","  490,535.15 ",
,8/3/2024,,45,"  13,033.19 ","  11,533.36 ","  1,499.83 ","  479,001.79 ",
,9/3/2024,,46,"  13,033.19 ","  11,568.63 ","  1,464.56 ","  467,433.16 ",
,10/3/2024,,47,"  13,033.19 ","  11,650.10 ","  1,383.09 ","  455,783.06 ",
,11/3/2024,,48,  -   ,  -   ,,"  455,783.06 ",
,12/3/2024,,49,  -   ,  -   ,"  5,620.25 ","  455,783.06 ",
Jan25,1/3/2025,,50,  -   ,  -   ,"  2,903.80 ","  455,783.06 ",
Feb25,2/3/2025,,51,"  13,836.24 ","  12,442.67 ","  1,393.57 ","  443,340.40 ",
Mar25,3/3/2025,,52,"  13,836.24 ","  12,611.89 ","  1,224.35 ","  430,728.50 ",
Apr25,4/3/2025,,53,"  13,836.24 ","  12,519.27 ","  1,316.97 ","  418,209.23 ",
May25,5/3/2025,,54,"  13,836.24 ","  12,598.80 ","  1,237.44 ","  405,610.43 ",
Jun25,6/3/2025,,55,"  13,836.24 ","  12,596.07 ","  1,240.17 ","  393,014.36 ",
Jul25,7/3/2025,,56,"  13,836.24 ","  12,673.35 ","  1,162.89 ","  380,341.01 ",
Aug25,8/3/2025,,57,"  13,836.24 ","  12,673.33 ","  1,162.91 ","  367,667.68 ",
Sep25,9/3/2025,,58,"  13,836.24 ","  12,712.08 ","  1,124.16 ","  354,955.59 ",
Oct25,10/3/2025,,59,"  13,836.24 ","  12,785.96 ","  1,050.28 ","  342,169.63 ",
Nov25,11/3/2025,,60,"  13,836.24 ","  12,790.04 ","  1,046.20 ","  329,379.59 ",
Dec25,12/3/2025,,61,"  13,836.24 ","  12,861.64 ",  974.60 ,"  316,517.95 ",
Jan26,1/3/2026,,62,"  13,836.24 ","  12,868.48 ",  967.76 ,"  303,649.48 ",
Feb26,2/3/2026,,63,"  13,836.24 ","  12,907.82 ",  928.42 ,"  290,741.65 ",
Mar26,3/3/2026,,64,"  13,836.24 ","  13,033.32 ",  802.92 ,"  277,708.34 ",
Apr26,4/3/2026,,65,"  13,836.24 ","  12,987.14 ",  849.10 ,"  264,721.20 ",
May26,5/3/2026,,66,"  13,836.24 ","  13,052.96 ",  783.28 ,"  251,668.25 ",
Jun26,6/3/2026,,67,"  13,836.24 ","  13,066.76 ",  769.48 ,"  238,601.49 ",
Jul26,7/3/2026,,68,"  13,836.24 ","  13,130.24 ",  706.00 ,"  225,471.25 ",
Aug26,8/3/2026,,69,"  13,836.24 ","  13,146.85 ",  689.39 ,"  212,324.40 ",
Sep26,9/3/2026,,70,"  13,836.24 ","  13,187.05 ",  649.19 ,"  199,137.34 ",
Oct26,10/3/2026,,71,"  13,836.24 ","  13,247.01 ",  589.23 ,"  185,890.33 ",
Nov26,11/3/2026,,72,"  13,836.24 ","  13,267.87 ",  568.37 ,"  172,622.46 ",
Dec26,12/3/2026,,73,"  13,836.24 ","  13,325.47 ",  510.77 ,"  159,296.99 ",
Jan27,1/3/2027,,74,"  13,836.24 ","  13,349.18 ",  487.06 ,"  145,947.81 ",
Feb27,2/3/2027,,75,"  13,836.24 ","  13,390.00 ",  446.24 ,"  132,557.81 ",
Mar27,3/3/2027,,76,"  13,836.24 ","  13,470.16 ",  366.08 ,"  119,087.65 ",
Apr27,4/3/2027,,77,"  13,836.24 ","  13,472.13 ",  364.11 ,"  105,615.52 ",
May27,5/3/2027,,78,"  13,836.24 ","  13,523.73 ",  312.51 ,"  92,091.79 ",
Jun27,6/3/2027,,79,"  13,836.24 ","  13,554.67 ",  281.57 ,"  78,537.12 ",
Jul27,7/3/2027,,80,"  13,836.24 ","  13,603.86 ",  232.38 ,"  64,933.26 ",
Aug27,8/3/2027,,81,"  13,836.24 ","  13,637.70 ",  198.54 ,"  51,295.56 ",
Sep27,9/3/2027,,82,"  13,836.24 ","  13,679.40 ",  156.84 ,"  37,616.16 ",
Oct27,10/3/2027,,83,"  13,836.24 ","  13,724.94 ",  111.30 ,"  23,891.22 ",
Nov27,11/3/2027,,84,"  13,836.62 ","  13,763.57 ",  73.05 ,"  10,127.65 ",
Dec27,12/3/2027,,85,"  13,836.62 ","  13,806.65 ",  29.97 ,"  (3,679.00)",
Jan28,1/3/2028,,86,"  13,836.62 ","  13,847.87 ",  (11.25),"  (17,526.87)",
Feb28,2/3/2028,,87,"  (17,580.46)","  (17,526.87)",  (53.59),  -   ,
Mar28,3/3/2028,,88,  -   ,  -   ,  -   ,  -   ,
