25 Trailers,`,,,,,,,05-2985-001-000-00
Oct26,10/15/2026,,48,"  24,218.15 ","  20,835.75 ","  3,382.40 ","  810,528.05 ",
Nov26,11/15/2026,,49,"  24,218.15 ","  20,810.60 ","  3,407.55 ","  789,717.45 ",
Dec26,12/15/2026,,50,"  24,218.15 ","  21,005.19 ","  3,212.96 ","  768,712.26 ",
Jan27,1/15/2027,,51,"  24,218.15 ","  20,986.40 ","  3,231.75 ","  747,725.86 ",
Feb27,2/15/2027,,52,"  24,218.15 ","  21,074.63 ","  3,143.52 ","  726,651.23 ",
Mar27,3/15/2027,,53,"  24,218.15 ","  21,458.87 ","  2,759.28 ","  705,192.37 ",
Apr27,4/15/2027,,54,"  24,218.15 ","  21,253.44 ","  2,964.71 ","  683,938.92 ",
May27,5/15/2027,,55,"  24,218.15 ","  21,435.55 ","  2,782.60 ","  662,503.37 ",
Jun27,6/15/2027,,56,"  24,218.15 ","  21,432.91 ","  2,785.24 ","  641,070.46 ",
Jul27,7/15/2027,,57,"  24,218.15 ","  21,609.96 ","  2,608.19 ","  619,460.50 ",
Aug27,8/15/2027,,58,"  24,218.15 ","  21,613.87 ","  2,604.28 ","  597,846.63 ",
Sep27,9/15/2027,,59,"  24,218.15 ","  21,704.74 ","  2,513.41 ","  576,141.89 ",
Oct27,10/15/2027,,60,"  24,218.15 ","  21,874.12 ","  2,344.03 ","  554,267.77 ",
Nov27,11/15/2027,,61,"  24,218.15 ","  21,887.95 ","  2,330.20 ","  532,379.83 ",
Dec27,12/15/2027,,62,"  24,218.15 ","  22,052.17 ","  2,165.98 ","  510,327.66 ",
Jan28,1/15/2028,,63,"  24,218.15 ","  22,072.68 ","  2,145.47 ","  488,254.98 ",
Feb28,2/15/2028,,64,"  24,218.15 ","  22,165.47 ","  2,052.68 ","  466,089.51 ",
Mar28,3/15/2028,,65,"  24,218.15 ","  22,385.08 ","  1,833.07 ","  443,704.43 ",
Apr28,4/15/2028,,66,"  24,218.15 ","  22,352.77 ","  1,865.38 ","  421,351.67 ",
May28,5/15/2028,,67,"  24,218.15 ","  22,503.88 ","  1,714.27 ","  398,847.78 ",
Jun28,6/15/2028,,68,"  24,218.15 ","  22,541.35 ","  1,676.80 ","  376,306.43 ",
Jul28,7/15/2028,,69,"  24,218.15 ","  22,687.15 ","  1,531.00 ","  353,619.28 ",
Aug28,8/15/2028,,70,"  24,218.15 ","  22,731.50 ","  1,486.65 ","  330,887.79 ",
Sep28,9/15/2028,,71,"  24,218.15 ","  22,827.06 ","  1,391.09 ","  308,060.72 ",
Oct28,10/15/2028,,72,"  24,218.15 ","  22,964.81 ","  1,253.34 ","  285,095.92 ",
Nov28,11/15/2028,,73,"  24,218.15 ","  23,019.58 ","  1,198.57 ","  262,076.34 ",
Dec28,12/15/2028,,74,"  24,218.15 ","  23,151.89 ","  1,066.26 ","  238,924.45 ",
Jan29,1/15/2029,,75,"  24,218.15 ","  23,213.69 ","  1,004.46 ","  215,710.76 ",
Feb29,2/15/2029,,76,"  24,218.15 ","  23,311.28 ",  906.87 ,"  192,399.48 ",
Mar29,3/15/2029,,77,"  24,218.15 ","  23,487.56 ",  730.59 ,"  168,911.92 ",
Apr29,4/15/2029,,78,"  24,218.15 ","  23,508.03 ",  710.12 ,"  145,403.90 ",
May29,5/15/2029,,79,"  24,218.15 ","  23,626.58 ",  591.57 ,"  121,777.32 ",
Jun29,6/15/2029,,80,"  24,218.15 ","  23,706.18 ",  511.97 ,"  98,071.14 ",
Jul29,7/15/2029,,81,"  24,218.15 ","  23,819.15 ",  399.00 ,"  74,251.99 ",
Aug29,8/15/2029,,82,"  24,218.15 ","  23,905.99 ",  312.16 ,"  50,346.00 ",
Sep29,9/15/2029,,83,"  24,218.15 ","  24,006.49 ",  211.66 ,"  26,339.51 ",
Oct29,10/15/2029,,84,"  24,218.15 ","  24,110.99 ",  107.16 ,"  2,228.53 ",
Nov29,11/15/2029,,85,"  2,237.90 ","  2,228.53 ",  9.37 ,  -   ,
Dec29,12/15/2029,,,,,,,
Jan30,1/15/2030,,,,,,,
