25 Utility Trailers,,,,,,,,
,,,,,Princ GL,05-2987-002-000-00,,
Dec29,12/17/2029,,66,"  19,405.62 ","  17,512.62 ","  1,893.00 ","  331,979.10 ",
Jan30,1/17/2030,,67,"  19,405.62 ","  17,547.54 ","  1,858.08 ","  314,431.55 ",
Feb30,2/17/2030,,68,"  19,405.62 ","  17,645.76 ","  1,759.87 ","  296,785.80 ",
Mar30,3/17/2030,,69,"  19,405.62 ","  17,905.27 ","  1,500.35 ","  278,880.53 ",
Apr30,4/17/2030,,70,"  19,405.62 ","  17,844.73 ","  1,560.89 ","  261,035.79 ",
May30,5/17/2030,,71,"  19,405.62 ","  17,991.74 ","  1,413.88 ","  243,044.05 ",
Jun30,6/17/2030,,72,"  19,405.62 ","  18,045.31 ","  1,360.31 ","  224,998.74 ",
Jul30,7/17/2030,,73,"  19,405.62 ","  18,186.93 ","  1,218.69 ","  206,811.81 ",
Aug30,8/17/2030,,74,"  19,405.62 ","  18,248.10 ","  1,157.52 ","  188,563.71 ",
Sep30,9/17/2030,,75,"  19,405.62 ","  18,350.24 ","  1,055.39 ","  170,213.47 ",
Oct30,10/17/2030,,76,"  19,405.62 ","  18,483.67 ",  921.95 ,"  151,729.80 ",
Nov30,11/17/2030,,77,"  19,405.62 ","  18,556.39 ",  849.23 ,"  133,173.40 ",
Dec30,12/17/2030,,78,"  19,405.62 ","  18,684.30 ",  721.33 ,"  114,489.11 ",
Jan31,1/17/2031,,79,"  19,405.62 ","  18,764.83 ",  640.79 ,"  95,724.28 ",
Feb31,2/17/2031,,80,"  19,405.62 ","  18,869.86 ",  535.77 ,"  76,854.42 ",
Mar31,3/17/2031,,81,"  19,405.62 ","  19,017.10 ",  388.53 ,"  57,837.32 ",
Apr31,4/17/2031,,82,"  19,405.62 ","  19,081.91 ",  323.71 ,"  38,755.41 ",
May31,5/17/2031,,83,"  19,405.62 ","  19,195.71 ",  209.92 ,"  19,559.70 ",
Jun31,6/17/2031,,84,"  19,669.18 ","  19,559.70 ",  109.48 ,  -   ,
Jul31,7/17/2031,,85,  -   ,  -   ,  -   ,  -   ,
Aug31,8/17/2031,,86,  -   ,  -   ,  -   ,  -   ,
Sep31,9/17/2031,,87,  -   ,  -   ,  -   ,  -   ,
Oct31,10/17/2031,,88,  -   ,  -   ,  -   ,  -   ,
Nov31,11/17/2031,,89,  -   ,  -   ,  -   ,  -   ,
Dec31,12/17/2031,,90,  -   ,  -   ,  -   ,  -   ,
