5 Sleepers 572-576,,,,,,,,05-2984-002-000-00
,,,,,MH2,,,
Feb25,2/18/2025,,36,"$51,572.10 ","  50,557.57 ","  1,014.53 ","  370,686.64 ",
Mar25,3/18/2025,,37,"$12,823.35 ","  11,930.58 ",  892.77 ,"  358,756.06 ",
Apr25,4/18/2025,,38,"$12,823.35 ","  11,959.32 ",  864.03 ,"  346,796.74 ",
May25,5/18/2025,,39,"$12,823.35 ","  11,988.12 ",  835.23 ,"  334,808.62 ",
Jun25,6/18/2025,,40,"$12,823.35 ","  12,016.99 ",  806.36 ,"  322,791.63 ",
Jul25,7/18/2025,,41,"$12,823.35 ","  12,045.93 ",  777.42 ,"  310,745.70 ",
Aug25,8/18/2025,,42,"$12,823.35 ","  12,074.94 ",  748.41 ,"  298,670.75 ",
Sep25,9/18/2025,,43,"$12,823.35 ","  12,104.03 ",  719.32 ,"  286,566.73 ",
Oct25,10/18/2025,,44,"$12,823.35 ","  12,133.18 ",  690.17 ,"  274,433.55 ",
Nov25,11/18/2025,,45,"$12,823.35 ","  12,162.40 ",  660.95 ,"  262,271.15 ",
Dec25,12/18/2025,,46,"$12,823.35 ","  12,191.69 ",  631.66 ,"  250,079.46 ",
Jan26,1/18/2026,,47,"$12,823.35 ","  12,221.05 ",  602.30 ,"  237,858.40 ",
Feb26,2/18/2026,,48,"$12,823.35 ","  12,250.49 ",  572.86 ,"  225,607.91 ",
Mar26,3/18/2026,,49,"$12,823.35 ","  12,279.99 ",  543.36 ,"  213,327.92 ",
Apr26,4/18/2026,,50,"$12,823.35 ","  12,309.57 ",  513.78 ,"  201,018.36 ",
May26,5/18/2026,,51,"$12,823.35 ","  12,339.21 ",  484.14 ,"  188,679.14 ",
Jun26,6/18/2026,,52,"$12,823.35 ","  12,368.93 ",  454.42 ,"  176,310.21 ",
Jul26,7/18/2026,,53,"$12,823.35 ","  12,398.72 ",  424.63 ,"  163,911.49 ",
Aug26,8/18/2026,,54,"$12,823.35 ","  12,428.58 ",  394.77 ,"  151,482.90 ",
Sep26,9/18/2026,,55,"$12,823.35 ","  12,458.52 ",  364.83 ,"  139,024.39 ",
Oct26,10/18/2026,,56,"$12,823.35 ","  12,488.52 ",  334.83 ,"  126,535.87 ",
Nov26,11/18/2026,,57,"$12,823.35 ","  12,518.60 ",  304.75 ,"  114,017.27 ",
Dec26,12/18/2026,,58,"$12,823.35 ","  12,548.75 ",  274.60 ,"  101,468.52 ",
Jan27,1/18/2027,,59,"$12,823.35 ","  12,578.97 ",  244.38 ,"  88,889.55 ",
Feb27,2/18/2027,,60,"$12,823.35 ","  12,609.27 ",  214.08 ,"  76,280.28 ",
Mar27,3/18/2027,,61,"$12,823.35 ","  12,639.64 ",  183.71 ,"  63,640.65 ",
Apr27,4/18/2027,,62,"$12,823.35 ","  12,670.08 ",  153.27 ,"  50,970.57 ",
May27,5/18/2027,,63,"$12,823.35 ","  12,700.59 ",  122.76 ,"  38,269.98 ",
Jun27,6/18/2027,,64,"$12,823.35 ","  12,731.18 ",  92.17 ,"  25,538.80 ",
Jul27,7/18/2027,,65,"$12,823.35 ","  12,761.84 ",  61.51 ,"  12,776.96 ",
Aug27,8/18/2027,,66,"  12,807.73 ","  12,776.96 ",  30.77 ,  -   ,
Sep27,9/18/2027,,67,  -   ,  -   ,  -   ,  -   ,
Oct27,10/18/2027,,68,  -   ,  -   ,  -   ,  -   ,
Nov27,11/18/2027,,69,  -   ,  -   ,  -   ,  -   ,
Dec27,12/18/2027,,70,  -   ,  -   ,  -   ,  -   ,
Jan28,1/18/2028,,71,  -   ,  -   ,  -   ,  -   ,
Feb28,2/18/2028,,72,  -   ,  -   ,  -   ,  -   ,
Mar28,3/18/2028,,73,  -   ,  -   ,  -   ,  -   ,
Apr28,4/18/2028,,74,  -   ,  -   ,  -   ,  -   ,
May28,5/18/2028,,75,  -   ,  -   ,  -   ,  -   ,
Jun28,6/18/2028,,76,  -   ,  -   ,  -   ,  -   ,
Jul28,7/18/2028,,77,  -   ,  -   ,  -   ,  -   ,
Aug28,8/18/2028,,78,  -   ,  -   ,  -   ,  -   ,
Sep28,9/18/2028,,79,  -   ,  -   ,  -   ,  -   ,
Oct28,10/18/2028,,80,  -   ,  -   ,  -   ,  -   ,
Nov28,11/18/2028,,81,  -   ,  -   ,  -   ,  -   ,
Dec28,12/18/2028,,82,  -   ,  -   ,  -   ,  -   ,
Jan29,1/18/2029,,83,  -   ,  -   ,  -   ,  -   ,
Feb29,2/18/2029,,84,  -   ,  -   ,  -   ,  -   ,
Mar29,3/18/2029,,85,  -   ,  -   ,  -   ,  -   ,
